title,links
Dan Rather: Trump's reckless foreign policy is exactly what Russia ...,https://www.rawstory.com/2017/04/dan-rather-trumps-reckless-foreign-policy-is-exactly-what-russia-wants-putin-loves-this/
Is the Trump-Putin Bromance Over?,http://www.newsweek.com/trump-putin-bromance-580749
Trump & Putin had secret back-channel line of communication ...,http://americablog.com/2017/04/trump-putin-secret-back-channel-line-communication-transition.html
Trump's new Russia expert wrote a psychological profile of Vladimir ...,https://www.washingtonpost.com/news/book-party/wp/2017/03/31/trumps-new-russia-expert-wrote-a-psychological-profile-of-vladimir-putin-and-it-should-scare-trump/
The Spoils of War: Trump Lavished With Media and Bipartisan ...,https://theintercept.com/2017/04/07/the-spoils-of-war-trump-lavished-with-media-and-bipartisan-praise-for-bombing-syria/
Has Trump's usefulness to Putin come to an end?,http://www.rawstory.com/2017/04/has-trumps-usefulness-to-putin-come-to-an-end/
Trump's congratulatory call to Erdogan is revealing,http://www.cnn.com/2017/04/18/opinions/trump-congratulates-erdogan-opinion-ben-ghiat/
Trump's new Russia expert wrote a psychological profile of Putin ...,http://www.denverpost.com/2017/04/06/trump-russia-expert-profile-putin/
Trump to welcome Egypt's dictator,http://www.politico.com/story/2017/04/trump-sisi-egypt-white-house-236782
Trump Loves Putin. We Need A Secretary Of State Who Doesn't.,http://www.huffingtonpost.com/davidhalperin/trump-loves-putin-we-need_b_14108270.html
How much does Trump love Putin? And how worried should we be?,https://www.bostonglobe.com/opinion/2017/01/28/how-much-does-trump-love-putin-and-how-worried-should/ogb4ZD4DyCyKlQyX3knqkJ/story.html
Trump loves despots: He couldn't shake Angela Merkel's hand, but ...,http://www.salon.com/2017/04/04/trump-and-the-despots-he-couldnt-shake-angela-merkels-hand-but-falls-hard-for-egypts-strongman-sense-a-pattern/
Vanity Fair suggests Russians are 'hopeless primitives' from a ...,https://www.rt.com/op-edge/385192-medieval-russia-media-vanity-fair/
Trump and Putin Swim Together in the White Nationalist Fever ...,http://www.slate.com/articles/news_and_politics/politics/2016/09/why_donald_trump_loves_vladimir_putin.html
Trump's Love for Putin: a Presidential Role Model,https://www.nytimes.com/2016/09/09/us/politics/donald-trump-vladimir-putin.html
Brace Yourselves, Folks ... It's Trump 2.0,http://www.newsadvance.com/opinion/columnists/page_clarence/brace-yourselves-folks-it-s-trump/article_92d9b74a-253d-11e7-b7cc-5f8da7529298.html
Stephen Colbert imagines Vladimir Putin as a gay icon in animated ...,http://ew.com/tv/2017/04/07/stephen-colbert-vladimir-putin-gay-icon/
Donald Trump: If Vladimir Putin likes me, it's an asset,http://www.independent.co.uk/news/world/americas/us-elections/donald-trump-vladimir-putin-asset-press-conference-live-news-russia-hacking-dossier-a7522146.html
Trump Likes Putin. Investors, Not So Much.,https://www.bloomberg.com/view/articles/2017-02-06/trump-likes-putin-investors-not-so-much
Cartoons: Scenes from a Russian restaurant,http://themoderatevoice.com/cartoons-scenes-russian-restaurant/
Trump and Putin: A Love Story,http://www.newyorker.com/news/news-desk/trump-and-putin-a-love-story
Letter: Trump could lead us down the road to war,http://www.thetelegram.com/opinion/letter-to-the-editor/2017/4/20/letter--trump-could-lead-us-down-the-road-to-war.html
Trump loves Vladimir Putin. Could his tax returns explain why?,https://www.washingtonpost.com/opinions/trump-loves-vladimir-putin-could-his-tax-returns-explain-why/2016/09/12/fe797fb0-7923-11e6-beac-57a4a412e93a_story.html
Trump's First 100 Days: The case of the missing aircraft carrier,https://www.washingtonpost.com/news/powerpost/wp/2017/04/18/trumps-first-100-days-the-case-of-the-missing-aircraft-carrier/
A History of Donald Trump's Bromance With Vladimir Putin,http://www.motherjones.com/politics/2016/10/trump-putin-timeline
Melania Trump: 19 things you may not know about the US First Lady,http://www.theweek.co.uk/donald-trump/69907/melania-trump-19-things-you-may-not-know-about-the-us-first-lady
Why does Trump go googly-eyed for Putin?,https://www.washingtonpost.com/opinions/why-does-trump-go-googly-eyed-for-putin/2017/01/05/42200bee-d36a-11e6-a783-cd3fa950f2fd_story.html
How much does Trump love Putin? Russia isn't on his defense ...,http://www.dailykos.com/story/2016/12/20/1613042/-How-much-does-Trump-love-Putin-Russia-isn-t-on-his-defense-priorities-list
Trump loves a conspiracy theory. Now his allies in the fringe media ...,https://www.washingtonpost.com/news/worldviews/wp/2017/04/06/trump-loves-a-conspiracy-theory-now-his-allies-in-the-media-say-hes-falling-for-one-in-syria/
CNN correspondent to talk 'Putin's Poker Game' at forum,http://citizensvoice.com/news/cnn-correspondent-to-talk-putin-s-poker-game-at-forum-1.2172730
Donald Trump's Unrequited Love for Vladimir Putin,http://www.thedailybeast.com/articles/2016/11/05/donald-trump-s-unrequited-love-for-vladimir-putin.html
John Oliver Explains Why Donald Trump Loves Vladimir Putin, Who ...,http://deadline.com/2017/02/john-oliver-donald-trump-loves-vladimir-putin-video-1201917222/
Timeline: Donald Trump's praise for Vladimir Putin,http://www.cnn.com/2016/07/28/politics/donald-trump-vladimir-putin-quotes/
Meet the Tyrant Donald Trump Loves the Most,http://time.com/4397022/donald-trump-vladimir-putin/
Does Putin like Donald Trump, why have the US sent special forces ...,https://www.thesun.co.uk/news/2149318/putin-trump-us-russia-relations-special-forces-russian-border/
Putin probably doesn't love Trump as much as you might think,https://qz.com/783739/vladimir-putin-doesnt-love-donald-trump-as-much-as-you-might-think/
Speak out: Readers discuss Trump's trips to Florida,http://www.chicagotribune.com/suburbs/aurora-beacon-news/opinion/ct-abn-speak-out-st-0423-20170418-story.html
Donald Trump's Love Affair With Vladimir Putin Really Is Alarming,http://www.motherjones.com/kevin-drum/2016/09/donald-trumps-love-affair-vladimir-putin-really-alarming
An end to bromance: Russia's in love with Trump, right? Not as ...,http://www.salon.com/2017/02/11/an-end-to-bromance-russias-in-love-with-trump-right-not-as-much-as-you-think/
Putin and the Populists,https://www.theatlantic.com/international/archive/2017/01/putin-trump-le-pen-hungary-france-populist-bannon/512303/
Is Putin the 'Preeminent Statesman' of Our Times?,https://townhall.com/columnists/patbuchanan/2017/03/31/is-putin-the-preeminent-statesman-of-our-times-n2306729
Trump Loves Putin and Mother Russia,http://freebeacon.com/politics/trump-loves-putin-mother-russia/
Vladimir Putin the one challege Donald Trump is not up for,http://us.blastingnews.com/opinion/2017/03/vladimir-putin-the-one-challege-donald-trump-is-not-up-for-001569583.html
A top Russian dissident on why Putin's honeymoon with Trump won't ...,https://qz.com/910971/boris-akunin-russian-dissident-explains-how-democracy-died-under-putin-and-what-the-us-can-still-do-to-resist/
Brace yourselves, it's President Trump 2.0,http://www.chicagotribune.com/news/opinion/page/ct-trump-reverses-syria-china-policy-perspec-0416-md-20170414-story.html
Axios AM,https://www.axios.com/axios-am-2356925710.html
Vladimir Putin Throws Water on Trump's Condemnation of Fidel Castro,http://www.politicususa.com/2016/11/26/vladimir-putin-throws-water-trumps-condemnation-fidel-castro.html
Trump, Farage, Le Pen: Why Western conservatives love Vladimir ...,http://www.france24.com/en/20161115-why-west-right-wing-admires-putin-le-pen-farage-trump
Russians are so happy Trump was elected,https://www.usatoday.com/story/news/world/2016/11/21/us-russian-relations-trump-putin-clinton/94207878/
Beyond Trump and Putin: The American Alt-Right's Love of the ...,http://thediplomat.com/2016/10/beyond-trump-and-putin-the-american-alt-rights-love-of-the-kremlins-policies/
Trump: 'If Putin Likes Donald Trump, I Consider That An Asset … Not ...,http://www.cnsnews.com/news/article/michael-w-chapman/trump-if-putin-likes-donald-trump-i-consider-asset-not-liability
Trump says meeting with Russia, pal Vladimir Putin 'would be ...,http://www.nydailynews.com/news/politics/trump-meeting-russia-pal-putin-wonderful-article-1.2835020
Patch Adams on Trump, Putin and why he loves Russia,https://www.usatoday.com/story/news/world/2016/11/16/patch-adams-trump-putin-russia/93876158/
From Putin to Trump: being a Russian student in New York,https://www.theguardian.com/education/2017/feb/20/from-putin-to-trump-being-a-russian-student-in-new-york
Donald Trump's Love For Vladimir Putin is Disgusting and Dangerous,https://www.pastemagazine.com/articles/2016/09/donald-trumps-love-for-vladimir-putin-is-disgustin.html
Serbian Village Loves Putin So Much It Changed Its Name to ...,http://www.nbcnews.com/news/world/serbian-village-loves-putin-so-much-it-changed-its-name-n715281
How to lose every war in the Middle East,https://uk.news.yahoo.com/lose-every-war-middle-east-044200580.html
Some Trump Personnel Picks Become Political Liabilities: Analysis,http://www.necn.com/news/politics/Trumps-Personnel-Picks-Become-Political-Liabilities-Analysis-419357274.html
As US Confronts Russia, Trump's Admiration Of Putin Is Consistent,http://www.npr.org/2016/12/30/507584595/as-u-s-confronts-russia-trumps-admiration-of-putin-is-consistent
Why real Americans love Putin,http://www.israelnationalnews.com/Articles/Article.aspx/19939
Trump's relationship with Russia – what we know and what comes ...,https://www.theguardian.com/us-news/2016/dec/13/donald-trump-russia-vladimir-putin-us-election-hack
They Hate Putin. They Love Trump. And They Live in Brooklyn.,https://newrepublic.com/article/135380/hate-putin-love-trump-live-brooklyn
Here's a giant image of Putin caressing a pregnant Trump projected ...,http://www.businessinsider.com/pregnant-trump-putin-hater-photos-2017-2
Saturday Night Live: Putin dictates to his 'puppet' Trump in a bumper ...,https://www.theguardian.com/tv-and-radio/2017/jan/22/saturday-night-live-putin-dictates-to-his-puppet-trump-in-a-bumper-snl
The Wrong-Headed Putin Love-In,http://www.weeklystandard.com/the-wrong-headed-putin-love-in/article/2006302
Why Putin and the Populists Love Each Other Deeply,http://www.huffingtonpost.com/entry/putin-trump-populists_us_58506581e4b0ee009eb41e14
Examining Politics Podcast: Former ambassador says Putin loves ...,http://www.washingtonexaminer.com/examining-politics-podcast-former-ambassador-says-putin-loves-trump-probably-hacked-dems/article/2599620
Has Trump made Republicans pro-Putin? [with correction],http://www.powerlineblog.com/archives/2017/01/has-trump-made-republicans-pro-putin.php
Trump on Putin: 'Maybe we'll have a good relationship, maybe we'll ...,http://uk.businessinsider.com/trump-putin-relationship-2016-10
Why Donald Trump Loves Vladimir Putin,http://www.motherjones.com/politics/2015/12/donald-trump-putin-narcissism
Rex Tillerson: an appointment that confirms Putin's US election win,https://www.theguardian.com/us-news/2016/dec/11/rex-tillerson-secretary-of-state-trump-russia-putin
'Is the whole world insane?' Alec Baldwin's Trump kisses the FBI ...,http://www.dailymail.co.uk/news/article-3909776/Is-world-insane-Alec-Baldwin-s-Trump-kisses-FBI-Putin-KKK-SNL-incredulous-Hillary-struggles-overcome-email-saga.html
Why Russia Loves Trump,http://www.vanityfair.com/news/2017/02/why-russia-loves-donald-trump
REVEALED: Cash, cars, palaces and babes behind the world's most ...,http://www.dailystar.co.uk/news/latest-news/567191/Donald-Trump-Vladimir-Putin-Net-Worth-Cars-Wives-Palaces-President-Tycoon-Real-Estate
If CNN's New Russia Report Is True, We May Be Seeing the ...,http://www.gq.com/story/russia-donald-trump-cnn-report
My brilliant friend,http://www.economist.com/news/united-states/21709293-what-explains-republican-nominees-fondness-russias-president-my-brilliant-friend
Why Russians like Trump, but Putin may actually prefer Clinton,https://www.pri.org/stories/2016-08-31/why-russians-trump-putin-may-actually-prefer-clinton
From Russia, with love... for Trump,http://www.chicagotribune.com/suburbs/post-tribune/opinion/ct-ptb-davich-trump-russian-reaction-st-1113-20161111-story.html
The Cult of Putin — and Trump — Grows in Crimea,https://www.bloomberg.com/news/articles/2016-10-20/in-booming-crimea-they-love-vladimir-putin-and-donald-trump
Trump & Putin: What's Next?,http://www.huffingtonpost.com/jonathan-adelman/trump-putin-whats-next_b_13285526.html
Sure, Trump loves conspiracy theories. So do his foes.,https://www.washingtonpost.com/posteverything/wp/2016/08/12/sure-trump-loves-conspiracy-theories-so-do-his-foes/
Forget Trump, Settlements, Hamas and Terror Threats: Only One ...,http://www.haaretz.com/israel-news/1.780601
How America's Right-Wing Fell in Love with Putin and Moscow,http://www.alternet.org/right-wing/american-right-loves-russia
Vladimir Putin's big problem: America is no longer the enemy,https://www.theguardian.com/world/2016/nov/13/vladimir-putin-big-problem-america-no-longer-the-enemy
Trump's Plan for the United Soviet(!) of America,https://www.theglobalist.com/donald-trump-plan-for-the-united-soviet-of-america/
Why Oil Is the Glue That Bonds Trump and Putin,http://www.alternet.org/world/macabre-petroleum-waltz-trump-and-putin
Vladimir Putin claims Russian prostitutes are 'best in the world' as he ...,http://www.mirror.co.uk/news/world-news/vladimir-putin-claims-russian-prostitutes-9642407
Robert Kraft hopes Trump can help retrieve Super Bowl ring Putin ...,https://www.washingtonpost.com/news/early-lead/wp/2017/02/05/robert-kraft-hopes-trump-can-help-retrieve-super-bowl-ring-putin-pilfered/
Tim Kaine: Donald Trump's 'personal Mount Rushmore' features ...,http://theweek.com/speedreads/653057/tim-kaine-donald-trumps-personal-mount-rushmore-features-vladimir-putin-saddam-hussein
Vladimir Putin's Popularity Is Skyrocketing Among Republicans,http://www.huffingtonpost.com/entry/vladimir-putin-popularity-republicans_us_58518a3ce4b092f08686bd6e
BUZZ, March 7: Why is Trump in love with Putin?,http://www.starnewsonline.com/opinion/20170307/buzz-march-7-why-is-trump-in-love-with-putin
Donald Trump Praises Tom Brady, Vladimir Putin In Batshit Super ...,http://deadspin.com/donald-trump-praises-tom-brady-vladimir-putin-in-batsh-1792025117
Trump's bromance with Putin could cost him the election,http://www.chicagotribune.com/news/opinion/commentary/ct-donald-trump-putin-lose-election-20161003-story.html
Russian-Americans Wary Of Trump's Relationship With Putin,http://www.npr.org/2016/12/18/506076726/russian-americans-wary-of-trumps-relationship-with-putin
In Havana, Fear the Trump-Putin 'Bromance' Will Lead to Invasion,http://www.alternet.org/election-2016/havana-fear-trump-putin-bromance-will-lead-invasion
Putin clarifies Trump comment and says America is the world's 'only ...,https://www.theguardian.com/world/2016/jun/18/vladimir-putin-donald-trump-striking-america-superpower
Pushing Australia into War with China,https://consortiumnews.com/2017/04/12/pushing-australia-into-war-with-china/
So long, the Labour Party: 7 things we can expect from the 2017 ...,http://www.mirror.co.uk/news/politics/long-labour-party-here-7-10248290
Donald Trump's foreign policy speech earns praise in Russia,http://www.cnn.com/2016/04/28/politics/donald-trump-russia-putin/
To Russia with love: Trump's dreams of Kremlin power,http://www.timesofisrael.com/to-russia-with-love-trumps-dreams-of-kremlin-power/
Left-Wing Politician Shakes Up France's Presidential Race,https://www.nytimes.com/2017/04/16/world/europe/jean-luc-melenchon-france-presidential-election.html
'Mr. Trump, You Are the Gift': Putin Stops by SNL to Wish Alec ...,http://www.alternet.org/video/mr-trump-you-are-gift-putin-stops-snl-wish-alec-baldwins-trump-merry-christmas
Putin says he doesn't believe Trump met prostitutes in Russia,http://www.staradvertiser.com/2017/01/17/breaking-news/putin-says-doesnt-believe-trump-met-prostitutes-in-russia/
Why the Conservative Admiration of Putin Is Dangerous,http://www.nationalreview.com/article/440095/donald-trump-vladimir-putin-praise-dangerous
Trump Says He Never Praised Putin. That's Just Not True—Trump ...,http://www.slate.com/blogs/the_slatest/2016/03/04/donald_trump_definitely_praised_vladimir_putin.html
Why Donald Trump strikes a chord with Russians,http://www.bbc.com/news/world-europe-37286988
Near-Treasonous Trump Thrills Russia by Calling NATO "Obsolete",http://thedailybanter.com/2017/01/trump-calls-nato-obsolete/
David Ignatius: Why Putin hates Clinton, loves Trump,http://billingsgazette.com/news/opinion/editorial/columnists/david-ignatius/david-ignatius-why-putin-hates-clinton-loves-trump/article_03fc8d93-31a3-565e-80cc-fbc929b9e510.html
A Conversation with the CPAC Protester Waving That TRUMP ...,http://www.esquire.com/news-politics/news/a53414/cpac-russia-trump-protest/
Trump prepares to become president … of Putin's fan club,http://www.msnbc.com/rachel-maddow-show/trump-prepares-become-president-putins-fan-club
A Primer on the French Election: Four Candidates, Three Nightmare ...,http://www.slate.com/articles/news_and_politics/the_good_fight/2017/04/a_primer_on_the_french_election_who_is_running_and_how_it_could_go_very.html
Time's person of the year shouldn't be Donald Trump – it's clearly ...,https://www.theguardian.com/commentisfree/2016/dec/09/person-of-the-year-trump-putin-dreams-brexit-us-election-aleppo-post-truth
Why Angry White America Fell for Putin,http://www.vanityfair.com/news/2016/12/why-angry-white-america-fell-for-putin
Hillary Clinton says Donald Trump is a 'puppet' of Vladimir Putin and ...,http://www.telegraph.co.uk/news/2016/10/20/hillary-clinton-says-donald-trump-is-a-puppet-of-vladimir-putin/
How Vladimir Putin Is Using Donald Trump to Advance Russia's Goals,http://www.newsweek.com/2016/09/09/vladimir-putin-donald-trump-493946.html
Why Trump's Republican Party Is Embracing Russia,https://www.theatlantic.com/politics/archive/2016/12/the-conservative-split-on-russia/510317/
EU, Angela Merkel, Mosul: Your Monday Briefing,https://www.nytimes.com/2017/03/26/briefing/eu-angela-merkel-mosul.html
What Trump Means for Central and Eastern Europe,https://www.theatlantic.com/international/archive/2016/11/trump-putin-nato-hungary-estonia-poland-orban/508910/
Fareed Zakaria on the most powerful man in the world,http://www.cnn.com/2017/03/13/politics/fareed-zakaria-putin-clinton-trump/
Trump open to arms race and better relations with Russia and Putin,https://www.usatoday.com/story/news/politics/2016/12/23/donald-trump-russia-twitter-nuclear-arms-morning-joe-tiger-woods/95786388/
Mike Flynn's love of Putin has dangerous echoes across Europe's right,https://www.theguardian.com/commentisfree/2017/feb/14/michael-flynn-vladimir-putin-populist-right-europe
Donald Trump loves conspiracy theories. So do his foes.,http://www.chicagotribune.com/news/opinion/commentary/ct-donald-trump-russia-conspiracy-theories-20160815-story.html
Donald Trump's answer on Russia and Vladimir Putin at the NBC ...,https://www.washingtonpost.com/news/the-fix/wp/2016/09/08/donald-trumps-answer-on-russia-and-vladimir-putin-at-the-commander-in-chief-forum-was-bananas/
From liberal beacon to a prop for Trump: what has happened to ...,https://www.theguardian.com/media/2016/oct/14/wiileaks-from-liberal-beacon-to-a-prop-for-trump-what-has-happened
Putin loves Donald Trump,http://www.washingtonexaminer.com/putin-loves-donald-trump/article/2574339
We Need To Know About The Putin-Assange-Trump Connection ...,http://www.huffingtonpost.com/entry/here-comes-trumpcare-deconstructing-its-terminology_us_58c174ebe4b070e55af9ec23
If Trump's goal is friendship with Russia, it's a prize worth lying for,https://www.theguardian.com/commentisfree/2017/mar/03/lies-russia-trump-obama
Trump's National Security Adviser pick raises serious questions ...,http://www.foxnews.com/opinion/2016/11/21/trumps-national-security-adviser-pick-raises-serious-questions-about-putins-influence-over-us-policy.html
A Trump-Putin axis?,http://www.jpost.com/Blogs/A-Mid-East-Journal/A-Trump-Putin-axis-473548
The Sheer Perfection of Donald Trump's Golden Shower,http://nymag.com/thecut/2017/01/the-sheer-perfection-of-donald-trumps-golden-shower.html
From Russia with love: Putin, Trump sing each other's praises,http://www.reuters.com/article/us-russia-putin-usa-trump-idUSKBN0U01NW20151218
Why the Israeli Hard Right Loves Donald Trump,http://www.newsweek.com/donald-trump-israel-iran-netanyahu-aipac-nuclear-accord-palestinians-abbas-532081
Donald Trump's Putin Admiration Is Completely Within the Political ...,http://gawker.com/donald-trumps-putin-admiration-is-completely-within-the-1748721848
While Trump Champions The Alt-Right In America, Putin Spreads Its ...,http://www.huffingtonpost.com/brian-tashman/while-trump-champions-the_b_11698456.html
Ivanka Trump Socializes with Old Friend Wendi Deng, Putin Rumors ...,http://www.snopes.com/2016/08/15/ivanka-trump-socializes-with-wendi-deng/
Inside the mind of a Trump voter: My Dad is OK with Putin and doesn ...,http://www.nydailynews.com/news/politics/dad-putin-doesn-care-trump-made-money-article-1.2790275
GOP Rep.: If Putin Really Wanted Trump to Win, He Wouldn't 'Say ...,http://www.mediaite.com/tv/gop-rep-if-putin-really-wanted-trump-to-win-he-wouldnt-say-nice-things-about-him/
Trump Gave a Press Conference About Pee Gate. He Probably ...,http://www.thestranger.com/slog/2017/01/11/24794658/trump-about-to-give-a-press-conference-pee-gate-will-be-addressed
'It's a pretty disturbing time for Ukraine': Trump's Russia ties unnerve ...,https://www.theguardian.com/world/2016/dec/06/ukraine-trump-presidency-russia-putin
Authoritarian appetite: From Trump to Putin this is what world's most ...,http://economictimes.indiatimes.com/magazines/panache/lifestyle/authoritarian-appetite-from-trump-to-putin-this-is-what-worlds-most-powerful-people-enjoy-eating/articleshow/56264624.cms
The definitive Trump-Russia timeline of events,http://www.politico.com/trump-russia-ties-scandal-guide/timeline-of-events
Why Russia Isn't Waiting to Finish Aleppo,http://www.nationalreview.com/article/442500/why-putin-attacks-aleppo-now-trump-president
SNL says Donald Trump is Vladimir Putin's gift this Christmas,http://bgr.com/2016/12/19/snl-donald-trump-vs-vladimir-putin/
Brit spy at centre of Trump 'dirty dossier' rumpus was taught secrets ...,https://www.thesun.co.uk/news/2606120/brit-spy-dirty-dossier-rumpus-putin-sex-tape-alexander-litvinenko/
The Atlantic's Ioffe: Trump and Putin Have 'Something Deeply ...,http://www.breitbart.com/video/2017/02/18/the-atlantics-ioffe-trump-and-putin-have-something-deeply-undemocratic-about-both-of-them/
Donald Trump to Jimmy Fallon: 'I Know Nothing About' Vladimir Putin,http://www.thedailybeast.com/articles/2016/09/16/donald-trump-to-jimmy-fallon-i-know-nothing-about-vladimir-putin.html
